id;tcis_code;tcis_type;tcis_incol;tcis_editrule
134;ノーマルモードチョークコイル;VALUE;;
135;ノーマルモードチョークコイル;PARTS_NAME;;L
136;ハイブリッドチョークコイル;VALUE;;
137;ハイブリッドチョークコイル;PARTS_NAME;;L
138;バイポーラトランジスタ;VALUE;;
139;バイポーラトランジスタ;PARTS_NAME;;Q
140;バリスタ;VALUE;;
141;バリスタ;PARTS_NAME;;D
142;ヒューズホルダ／ソケット;VALUE;AK;
143;ヒューズホルダ／ソケット;PARTS_NAME;;J
144;フィルムコンデンサ;VALUE;AZ,BA;
145;フィルムコンデンサ;RATING_VOLTAGE;AG,AH;
146;フィルムコンデンサ;TOLERANCE;BB,BC,BD,BE;
147;フィルムコンデンサ;PARTS_NAME;;C
148;フィルムコンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,AY;
149;フィルムコンデンサ;SCHEMATIC_PART;;C
150;フェライトビーズ;VALUE;;
151;フェライトビーズ;PARTS_NAME;;NF
152;フォトインタラプタ;VALUE;;
153;フォトインタラプタ;PARTS_NAME;;PI
154;フォトカプラ;VALUE;;
155;フォトカプラ;PARTS_NAME;;PC
156;フックスイッチ;VALUE;;
157;フックスイッチ;PARTS_NAME;;SW
158;プッシュスイッチ;VALUE;;
159;プッシュスイッチ;PARTS_NAME;;SW
160;ブラシつきモータドライバIC;VALUE;T;
161;ブラシつきモータドライバIC;PARTS_NAME;;IC
162;ブラシレスモータドライバIC;VALUE;T;
163;ブラシレスモータドライバIC;PARTS_NAME;;IC
164;プラズマディスプレイデバイス;VALUE;;
165;プラズマディスプレイデバイス;PARTS_NAME;;VDT
166;フラッシュメモリ;VALUE;T;
167;フラッシュメモリ;PARTS_NAME;;IC
168;プリント基板用ソケット;VALUE;;
169;プリント基板用ソケット;PARTS_NAME;;J
170;プログラマブルロジック;VALUE;T;
171;プログラマブルロジック;PARTS_NAME;;IC
172;マイカコンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,AY;
173;マイカコンデンサ;SCHEMATIC_PART;;C
174;マイカコンデンサ;TOLERANCE;BB,BC,BD,BE;
175;マイカコンデンサ;PARTS_NAME;;C
176;マイカコンデンサ;VALUE;AZ,BA;
177;マイカコンデンサ;RATING_VOLTAGE;AG,AH;
178;マイクロコンピュータ;VALUE;T;
179;マイクロコンピュータ;PARTS_NAME;;IC
180;マイクロコンピュータ;PACKAGE_TYPE;AR;
181;マイクロスイッチ;VALUE;;
182;マイクロスイッチ;PARTS_NAME;;SW
183;マイクロホン;PARTS_NAME;;MP
184;マイクロホン;VALUE;T;
185;マイクロ波部品;VALUE;;
186;マイクロ波部品;PARTS_NAME;;
187;マグネチックブザー／サウンダ;VALUE;T;
188;マグネチックブザー／サウンダ;PARTS_NAME;;BZ
189;マスクROM;VALUE;T;
190;マスクROM;PARTS_NAME;;IC
191;マトリクス型有機ELディスプレイ;VALUE;;
192;マトリクス型有機ELディスプレイ;PARTS_NAME;;VDT
193;マトリクス型液晶表示デバイス;VALUE;;
194;マトリクス型液晶表示デバイス;PARTS_NAME;;LCD
195;メモリカード;VALUE;T;
196;メモリカード;PARTS_NAME;;IC
197;メモリモジュール;VALUE;T;
198;メモリモジュール;PARTS_NAME;;IC
199;メンブレンスイッチ;VALUE;;
200;メンブレンスイッチ;PARTS_NAME;;SW
201;リードスイッチ;VALUE;;
202;リードスイッチ;PARTS_NAME;;SW
203;リーフスイッチ;VALUE;;
204;リーフスイッチ;PARTS_NAME;;SW
205;リセッタブルヒューズ;PARTS_NAME;;F
206;リセッタブルヒューズ;VALUE;AG,AH;
207;リレー用ソケット;VALUE;;
208;リレー用ソケット;PARTS_NAME;;J
209;レーザダイオード;VALUE;;
210;レーザダイオード;PARTS_NAME;;D
211;レバースイッチ;VALUE;;
212;レバースイッチ;PARTS_NAME;;SW
213;ロータリスイッチ;VALUE;;
214;ロータリスイッチ;PARTS_NAME;;SW
215;ロッカスイッチ;VALUE;;
216;ロッカスイッチ;PARTS_NAME;;SW
217;一次電池;VALUE;AM,AN;
218;一次電池;PARTS_NAME;;E
219;一般サイリスタ;VALUE;;
220;一般サイリスタ;PARTS_NAME;;SCR
221;二次電池;VALUE;AM,AN;
222;二次電池;PARTS_NAME;;E
223;位置センサ;VALUE;T;
224;位置センサ;PARTS_NAME;;SNS
225;信号用ソケット;VALUE;;
226;信号用ソケット;PARTS_NAME;;J
227;信号用フィルタ;VALUE;;
228;信号用フィルタ;PARTS_NAME;;NF
229;光サイリスタ;VALUE;;
230;光サイリスタ;PARTS_NAME;;SCR
231;光スイッチ;VALUE;AG;
232;光スイッチ;PARTS_NAME;;OPT
233;光応用製品;VALUE;;
234;光応用製品;PARTS_NAME;;OPT
235;力／トルクセンサ;VALUE;T;
236;力／トルクセンサ;PARTS_NAME;;SNS
237;半導体リレー;VALUE;;
238;半導体リレー;PARTS_NAME;;RY
239;受光素子;VALUE;;
240;受光素子;PARTS_NAME;;PD
241;可変インダクタ;VALUE;BJ,BK;
242;可変インダクタ;PARTS_NAME;;L
243;可変コンデンサ;VALUE;BB,BC;
244;可変コンデンサ;RATING_VOLTAGE;AG,AH;
245;可変コンデンサ;PARTS_NAME;;C
246;可変コンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,Ay;
247;可変コンデンサ;SCHEMATIC_PART;;C
248;可変容量ダイオード;VALUE;;
249;可変容量ダイオード;PARTS_NAME;;VD
250;可変抵抗器;VALUE;AI,AJ;
251;可変抵抗器;PCB_FOOTPRINT;AQ,AS,AU,AW,BC;
252;可変抵抗器;RATING_ELECTRICITY;AG,AH;
253;可変抵抗器;TOLERANCE;AK,AL;
254;可変抵抗器;PARTS_NAME;;R
255;可変抵抗器;SCHEMATIC_PART;;VR
256;可視光線センサ;VALUE;T;
257;可視光線センサ;PARTS_NAME;;SNS
258;回転角／回転数センサ;VALUE;T;
259;回転角／回転数センサ;PARTS_NAME;;SNS
260;固定インダクタ;VALUE;BJ,BK;
261;固定インダクタ;TOLERANCE;BL,BM,BN,BO;
262;固定インダクタ;PARTS_NAME;;L
263;固定抵抗器;VALUE;AI,AJ;
264;固定抵抗器;PCB_FOOTPRINT;AQ,AS,AU,AW,BC;
265;固定抵抗器;RATING_ELECTRICITY;AG,AH;
266;固定抵抗器;TOLERANCE;AK,AL;
267;固定抵抗器;PARTS_NAME;;R
268;固定抵抗器;SCHEMATIC_PART;;R
269;圧力センサ;VALUE;T;
270;圧力センサ;PARTS_NAME;;SNS
271;圧電セラミックス振動子;VALUE;AG,AH;
272;圧電セラミックス振動子;CHARACTERISTICS;BK,BL;
273;圧電セラミックス振動子;PARTS_NAME;;X
274;圧電ブザー／サウンダ;VALUE;T;
275;圧電ブザー／サウンダ;PARTS_NAME;;BZ
276;基板側コネクタ_コネクタ;VALUE;;
277;基板側コネクタ_コネクタ;PARTS_NAME;;J
278;変位センサ;VALUE;T;
279;変位センサ;PARTS_NAME;;SNS
280;太陽電池;VALUE;T;
281;太陽電池;PARTS_NAME;;E
282;小型メモリーカードソケット;VALUE;;
283;小型メモリーカードソケット;PARTS_NAME;;J
284;強誘電体メモリ;VALUE;T;
285;強誘電体メモリ;PARTS_NAME;;IC
286;感振／転倒検知スイッチ;VALUE;;
287;感振／転倒検知スイッチ;PARTS_NAME;;SW
288;感熱スイッチ;VALUE;;
289;感熱スイッチ;PARTS_NAME;;SW
290;接合型FET;VALUE;;
291;接合型FET;PARTS_NAME;;Q
292;放射線センサ;VALUE;T;
293;放射線センサ;PARTS_NAME;;SNS
294;放電ギャップ;VALUE;;
295;放電ギャップ;PARTS_NAME;;
296;放電ランプ;VALUE;;
297;放電ランプ;PARTS_NAME;;OPT
298;整流用ダイオード;VALUE;;
299;整流用ダイオード;PARTS_NAME;;D
300;時計用IC;VALUE;T;
301;時計用IC;PARTS_NAME;;IC
302;機能回路モジュール;VALUE;;
303;機能回路モジュール;PARTS_NAME;;IC
304;歪みセンサ;VALUE;T;
305;歪みセンサ;PARTS_NAME;;SNS
306;水晶フィルタ;VALUE;;
307;水晶フィルタ;PARTS_NAME;;NF
308;水晶発振器;PARTS_NAME;;X
309;水晶発振器;VALUE;BD,BE;
310;水晶発振子用ソケット;VALUE;;
311;水晶発振子用ソケット;PARTS_NAME;;J
312;汎用リニアIC;VALUE;T;
313;汎用リニアIC;PARTS_NAME;;IC
314;汎用ロジックIC;VALUE;T;
315;汎用ロジックIC;PARTS_NAME;;IC
316;汎用ロジックIC;PACKAGE_TYPE;AL;
317;流速／流量センサ;VALUE;T;
318;流速／流量センサ;PARTS_NAME;;SNS
319;温度／湿度／気圧センサ;VALUE;T;
320;温度／湿度／気圧センサ;PARTS_NAME;;SNS
321;温度ヒューズ;VALUE;AV,AW;
322;温度ヒューズ;PARTS_NAME;;F
323;照光ランプ用ソケット;VALUE;;
324;照光ランプ用ソケット;PARTS_NAME;;J
325;照度センサ;VALUE;T;
326;照度センサ;PARTS_NAME;;SNS
327;物体検出センサ;VALUE;T;
328;物体検出センサ;PARTS_NAME;;SNS
329;発光ダイオード;VALUE;;
330;発光ダイオード;PARTS_NAME;;D
331;発振子／共振子／水晶振動子;VALUE;AG,AH;
332;発振子／共振子／水晶振動子;CHARACTERISTICS;AM,AN;
333;発振子／共振子／水晶振動子;TOLERANCE;AI,AJ,AK,AL;
334;発振子／共振子／水晶振動子;PARTS_NAME;;X
335;白熱電球;VALUE;;
336;白熱電球;PARTS_NAME;;OPT
337;磁歪振動子;VALUE;AG,AH;
338;磁歪振動子;PARTS_NAME;;X
339;磁気センサ;VALUE;T;
340;磁気センサ;PARTS_NAME;;SNS
341;端子;VALUE;AG;
342;端子;PARTS_NAME;;J
343;粉体センサ;VALUE;T;
344;粉体センサ;PARTS_NAME;;SNS
345;紫外線センサ;VALUE;T;
346;紫外線センサ;PARTS_NAME;;SNS
347;蛍光ランプ;VALUE;;
348;蛍光ランプ;PARTS_NAME;;OPT
349;蛍光表示管;VALUE;;
350;蛍光表示管;PARTS_NAME;;VDT
351;表示用IC;VALUE;T;
352;表示用IC;PARTS_NAME;;IC
353;複合ディスクリートデバイス;VALUE;;
354;複合ディスクリートデバイス;PARTS_NAME;;
355;複合メモリ;PARTS_NAME;;IC
356;複合メモリ;VALUE;T;
357;複合機能付スイッチ;VALUE;;
358;複合機能付スイッチ;PARTS_NAME;;SW
359;角度／振動／速度／加速度センサ;VALUE;T;
360;角度／振動／速度／加速度センサ;PARTS_NAME;;SNS
361;角速度センサ;VALUE;T;
362;角速度センサ;PARTS_NAME;;SNS
363;赤外線センサ;VALUE;T;
364;赤外線センサ;PARTS_NAME;;SNS
365;送受信アンテナ;VALUE;T;
366;送受信アンテナ;PARTS_NAME;;ANT
367;電圧検出用IC;PACKAGE_TYPE;AG;
368;電圧検出用IC;VALUE;T;
369;電圧検出用IC;PARTS_NAME;;IC
370;電子管用ソケット;VALUE;;
371;電子管用ソケット;PARTS_NAME;;J
372;電気二重層コンデンサ;VALUE;AZ,BA;
373;電気二重層コンデンサ;RATING_VOLTAGE;AG,AH;
374;電気二重層コンデンサ;TOLERANCE;BB,BC,BD,BE;
375;電気二重層コンデンサ;PARTS_NAME;;C
376;電気二重層コンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,AY;
377;電気二重層コンデンサ;SCHEMATIC_PART;;C
378;電池のアダプタ／ホルダー;VALUE;;
379;電池のアダプタ／ホルダー;PARTS_NAME;;J
380;電流センサ;VALUE;T;
381;電流センサ;PARTS_NAME;;SNS
382;電流ヒューズ;PARTS_NAME;;F
383;電流ヒューズ;VALUE;AG,AH;
384;電源用ソケット;VALUE;;
385;電源用ソケット;PARTS_NAME;;J
386;電界センサ;VALUE;T;
387;電界センサ;PARTS_NAME;;SNS
388;電磁リレー;VALUE;;
389;電磁リレー;PARTS_NAME;;RY
390;電解コンデンサ;PCB_FOOTPRINT;AM,AO,AQ,AS,AY;
391;電解コンデンサ;SCHEMATIC_PART;;CE
392;電解コンデンサ;VALUE;AZ,BA;
393;電解コンデンサ;RATING_VOLTAGE;AG,AH;
394;電解コンデンサ;TOLERANCE;BB,BC,BD,BE;
395;電解コンデンサ;PARTS_NAME;;C
396;音響用IC;VALUE;T;
397;音響用IC;PARTS_NAME;;IC
